orig_name,dest_name,d_time,d_dur_traf,d_dist,t_time,t_dist,t_fare
North Green Lake,Husky Stadium,777,1004,7833,2044.0,6035.0,2.75
North Green Lake,Interbay,1024,1078,8888,3337.0,10203.0,2.75
North Green Lake,Denny,1144,1401,13367,2912.0,13156.0,2.75
North Green Lake,Westlake,608,709,6587,1504.0,6675.0,2.75
North Green Lake,King Street Station,1095,1393,12777,2407.0,10930.0,2.75
North Green Lake,Colman Dock,1103,1408,13033,2369.0,10660.0,2.75
North Green Lake,South Lake Union,843,1079,8695,2468.0,8641.0,2.75
University District,Uptown,801,1103,6953,2859.0,10574.0,2.75
University District,Lander,899,1121,12552,2316.0,12872.0,5.5
University District,Stadium,856,1176,10501,2240.0,9343.0,2.75
University District,Capitol Hill,652,747,5211,1326.0,5223.0,2.75
University District,15th Ave,1080,1117,7570,2216.0,7305.0,2.75
University District,Madison,940,990,6775,2341.0,7826.0,2.75
University District,Central,1011,1017,7375,2112.0,7264.0,2.75
University District,Pike/Pine,866,1046,7910,1770.0,6558.0,2.75
University District,First Hill,750,965,8061,2258.0,7117.0,2.75
University District,Yesler Terrace,735,947,8290,1882.0,8240.0,2.75
Ballard,Uptown,890,1144,7866,1870.0,7953.0,2.75
Ballard,Lander,1595,1856,15975,3226.0,14980.0,5.5
Ballard,Stadium,1312,1605,14165,2596.0,11611.0,2.75
Ballard,Capitol Hill,1343,1573,11971,2817.0,11569.0,2.75
Ballard,15th Ave,1695,1901,12978,3404.0,13106.0,2.75
Ballard,Madison,1623,1838,14013,3917.0,15777.0,2.75
Ballard,Central,1617,1987,16744,3074.0,14702.0,2.75
Ballard,Pike/Pine,1533,1710,11867,3154.0,12143.0,2.75
Ballard,First Hill,1428,1636,11664,2737.0,11541.0,2.75
Ballard,Yesler Terrace,1477,1774,14206,3433.0,11927.0,2.75
Fremont,Uptown,478,549,4508,1790.0,7597.0,2.75
Fremont,Lander,976,1195,10452,2479.0,10795.0,5.5
Fremont,Stadium,694,947,8641,2149.0,7217.0,2.75
Fremont,Capitol Hill,725,912,6448,2218.0,6505.0,2.75
Fremont,15th Ave,1077,1228,7455,2789.0,8419.0,2.75
Fremont,Madison,1086,1158,8377,2990.0,11182.0,2.75
Fremont,Central,1157,1185,8977,2800.0,9491.0,2.75
Fremont,Pike/Pine,914,1029,6344,2227.0,7547.0,2.75
Fremont,First Hill,810,964,6140,2266.0,7419.0,2.75
Fremont,Yesler Terrace,859,1123,8682,2506.0,7533.0,2.75
Campus Parkway,Uptown,761,1035,6525,2085.0,10568.0,2.75
Campus Parkway,Lander,959,1195,12880,2175.0,12081.0,2.75
Campus Parkway,Stadium,916,1250,10829,2141.0,9032.0,2.75
Campus Parkway,Capitol Hill,687,721,4563,952.0,4114.0,2.75
Campus Parkway,15th Ave,997,1070,6403,2085.0,6321.0,2.75
Campus Parkway,Madison,852,938,5607,2149.0,7301.0,2.75
Campus Parkway,Central,927,970,6208,1920.0,6739.0,2.75
Campus Parkway,Pike/Pine,926,1120,8238,1396.0,5448.0,2.75
Campus Parkway,First Hill,809,1039,8389,1704.0,6008.0,2.75
Campus Parkway,Yesler Terrace,795,1021,8618,2149.0,7341.0,2.75
Northgate,Uptown,969,1231,15062,3108.0,16132.0,2.75
Northgate,Lander,999,1413,18091,2945.0,18012.0,5.5
Northgate,Stadium,956,1465,16040,2249.0,14901.0,2.75
Northgate,Capitol Hill,751,1045,10750,2534.0,14264.0,2.75
Northgate,15th Ave,1077,1450,14436,3321.0,14339.0,2.75
Northgate,Madison,998,1335,13642,3636.0,16975.0,2.75
Northgate,Central,1073,1366,14242,3446.0,17107.0,2.75
Northgate,Pike/Pine,966,1342,13449,2339.0,13294.0,2.75
Northgate,First Hill,849,1261,13600,2336.0,12965.0,2.75
Northgate,Yesler Terrace,835,1243,13829,3192.0,16415.0,5.0
Broadview,Uptown,1368,1465,13460,4494.0,15954.0,2.75
Broadview,Lander,1327,1604,22574,5051.0,19509.0,5.5
Broadview,Stadium,1583,1854,17593,4361.0,15923.0,2.75
Broadview,Capitol Hill,1123,1423,15235,5240.0,17012.0,2.75
Broadview,15th Ave,1449,1837,18921,5109.0,16959.0,2.75
Broadview,Madison,1369,1695,18127,5322.0,19723.0,2.75
Broadview,Central,1445,1740,18727,5411.0,18200.0,2.75
Broadview,Pike/Pine,1337,1724,17935,4506.0,16088.0,2.75
Broadview,First Hill,1221,1646,18086,4808.0,21093.0,2.75
Broadview,Yesler Terrace,1206,1621,18315,5281.0,21929.0,2.75
Crown Hill,Uptown,1141,1225,11063,1865.0,9297.0,2.75
Crown Hill,Lander,1356,1837,18920,3847.0,16965.0,5.5
Crown Hill,Stadium,1357,1626,15196,3241.0,13238.0,2.75
Crown Hill,Capitol Hill,1109,1470,11578,3438.0,13346.0,2.75
Crown Hill,15th Ave,1435,1884,15264,3810.0,14270.0,2.75
Crown Hill,Madison,1355,1740,14470,4358.0,17188.0,2.75
Crown Hill,Central,1431,1785,15070,3695.0,16480.0,2.75
Crown Hill,Pike/Pine,1577,1727,12899,3542.0,13553.0,2.75
Crown Hill,First Hill,1473,1653,12695,3684.0,13599.0,2.75
Crown Hill,Yesler Terrace,1192,1668,14658,3660.0,13642.0,2.75
Greenwood,Uptown,1014,1103,9970,2659.0,11964.0,2.75
Greenwood,Lander,1190,1662,17877,3501.0,16637.0,5.5
Greenwood,Stadium,1230,1496,14103,3072.0,13055.0,2.75
Greenwood,Capitol Hill,942,1297,10535,3530.0,11728.0,2.75
Greenwood,15th Ave,1269,1709,14221,3679.0,14097.0,2.75
Greenwood,Madison,1189,1574,13427,3857.0,15362.0,2.75
Greenwood,Central,1265,1612,14027,3494.0,15435.0,2.75
Greenwood,Pike/Pine,1157,1598,13235,3432.0,13331.0,2.75
Greenwood,First Hill,1040,1517,13385,3288.0,12860.0,2.75
Greenwood,Yesler Terrace,1026,1492,13615,3425.0,13317.0,2.75
Lake City,Uptown,1044,1316,13216,2714.0,15942.0,5.5
Lake City,Lander,1136,1421,18797,2671.0,18276.0,5.5
Lake City,Stadium,1153,1712,19255,2205.0,15003.0,2.75
Lake City,Capitol Hill,937,1199,11551,2616.0,16505.0,5.5
Lake City,15th Ave,1274,1689,17650,2849.0,15948.0,5.5
Lake City,Madison,1184,1485,14443,3390.0,18894.0,2.75
Lake City,Central,1270,1589,17457,3532.0,17186.0,5.5
Lake City,Pike/Pine,1163,1579,16664,2602.0,15183.0,5.5
Lake City,First Hill,1046,1493,16815,2608.0,13458.0,2.75
Lake City,Yesler Terrace,1032,1471,17044,3120.0,14512.0,2.75
North Green Lake,Uptown,760,881,8170,2555.0,11104.0,2.75
North Green Lake,Lander,1001,1449,16660,3121.0,14651.0,5.5
North Green Lake,Stadium,976,1277,12303,2512.0,11069.0,2.75
North Green Lake,Capitol Hill,790,1045,9013,3016.0,9261.0,2.75
North Green Lake,15th Ave,1080,1489,13004,3119.0,12111.0,2.75
North Green Lake,Madison,1000,1371,12210,3512.0,14873.0,2.75
North Green Lake,Central,1076,1403,12810,3322.0,13348.0,2.75
North Green Lake,Pike/Pine,1197,1367,10005,2749.0,11238.0,2.75
North Green Lake,First Hill,1092,1300,9802,2842.0,10369.0,2.75
North Green Lake,Yesler Terrace,838,1281,12397,3028.0,11389.0,2.75
University District,West Seattle Junction/Triangle,1071,1261,16628,3309.0,16773.0,2.75
University District,Morgan Junction,1266,1453,18442,3419.0,18678.0,2.75
University District,Westwood,938,963,12044,2632.0,11102.0,0.0
University District,Roxbury,1375,1563,20150,3501.0,20305.0,2.75
University District,Admiral,1042,1225,16759,3903.0,21297.0,8.25
University District,North Beacon Hill,889,1080,11492,2259.0,12843.0,5.5
University District,Mt. Baker Station,898,1074,11464,2424.0,10580.0,2.75
University District,Columbia City Station,1046,1275,14198,2539.0,15877.0,5.5
University District,Othello Station,1218,1438,17012,2779.0,18621.0,5.5
University District,Rainier Beach,1295,1510,21812,3750.0,22360.0,8.25
Ballard,West Seattle Junction/Triangle,1493,1651,19494,3839.0,19307.0,2.75
Ballard,Morgan Junction,1688,1841,21309,3949.0,21212.0,2.75
Ballard,Westwood,1421,1487,13756,4438.0,15358.0,2.75
Ballard,Roxbury,1757,1924,23579,3935.0,22530.0,2.75
Ballard,Admiral,1464,1613,19625,4649.0,21522.0,2.75
Ballard,North Beacon Hill,1628,1892,16063,3169.0,14951.0,5.5
Ballard,Mt. Baker Station,1616,1870,17601,3371.0,16216.0,5.5
Ballard,Columbia City Station,1764,2046,19907,3449.0,17986.0,5.5
Ballard,Othello Station,1935,2204,22722,3689.0,20729.0,5.5
Ballard,Rainier Beach,2013,2290,27521,4840.0,23512.0,2.75
Fremont,West Seattle Junction/Triangle,875,989,13971,2972.0,15318.0,2.75
Fremont,Morgan Junction,1070,1181,15785,3082.0,17223.0,2.75
Fremont,Westwood,1227,1274,14456,4175.0,21616.0,5.5
Fremont,Roxbury,1138,1264,18056,3188.0,18538.0,2.75
Fremont,Admiral,845,952,14102,4176.0,17848.0,2.75
Fremont,North Beacon Hill,1010,1230,10540,2422.0,10766.0,5.5
Fremont,Mt. Baker Station,998,1207,12077,2624.0,12031.0,5.5
Fremont,Columbia City Station,1146,1398,14384,2702.0,13801.0,5.5
Fremont,Othello Station,1317,1559,17198,2942.0,16544.0,5.5
Fremont,Rainier Beach,1395,1629,21998,3913.0,20283.0,8.25
Campus Parkway,West Seattle Junction/Triangle,1131,1335,16956,3210.0,16461.0,2.75
Campus Parkway,Morgan Junction,1326,1526,18770,3320.0,18366.0,2.75
Campus Parkway,Westwood,998,1037,12372,2459.0,11455.0,2.75
Campus Parkway,Roxbury,1435,1637,20478,3508.0,19993.0,2.75
Campus Parkway,Admiral,1102,1299,17087,3837.0,20772.0,8.25
Campus Parkway,North Beacon Hill,949,1154,11820,2118.0,12052.0,2.75
Campus Parkway,Mt. Baker Station,958,1149,11792,2232.0,10055.0,2.75
Campus Parkway,Columbia City Station,1106,1349,14526,2398.0,15072.0,2.75
Campus Parkway,Othello Station,1277,1510,17340,2638.0,17816.0,2.75
Campus Parkway,Rainier Beach,1355,1582,22140,3608.0,21787.0,8.25
Northgate,West Seattle Junction/Triangle,1170,1559,22167,3558.0,22331.0,2.75
Northgate,Morgan Junction,1366,1749,23982,3668.0,24236.0,2.75
Northgate,Westwood,674,701,5814,1786.0,5115.0,2.75
Northgate,Roxbury,1475,1864,25689,3654.0,25554.0,2.75
Northgate,Admiral,1141,1521,22298,4368.0,24546.0,2.75
Northgate,North Beacon Hill,989,1376,17031,2888.0,17983.0,5.5
Northgate,Mt. Baker Station,997,1371,17004,3090.0,19248.0,5.5
Northgate,Columbia City Station,1146,1565,19737,3168.0,21018.0,5.5
Northgate,Othello Station,1317,1720,22551,3408.0,23761.0,5.5
Northgate,Rainier Beach,1395,1800,27351,4559.0,26846.0,2.75
Broadview,West Seattle Junction/Triangle,1764,1902,22922,5364.0,23619.0,2.75
Broadview,Morgan Junction,1959,2092,24737,5474.0,25524.0,2.75
Broadview,Westwood,979,1036,8018,3526.0,11723.0,2.75
Broadview,Roxbury,2028,2174,27007,5460.0,26842.0,2.75
Broadview,Admiral,1735,1863,23053,6054.0,26434.0,2.75
Broadview,North Beacon Hill,1360,1757,21517,4994.0,19480.0,5.5
Broadview,Mt. Baker Station,1369,1753,21489,5196.0,20727.0,5.5
Broadview,Columbia City Station,1517,1938,24222,5274.0,22500.0,5.5
Broadview,Othello Station,1688,2096,27037,5514.0,25243.0,5.5
Broadview,Rainier Beach,1766,2183,31836,7102.0,27824.0,5.5
Crown Hill,West Seattle Junction/Triangle,1537,1668,20526,4160.0,21088.0,2.75
Crown Hill,Morgan Junction,1733,1859,22340,4270.0,22993.0,2.75
Crown Hill,Westwood,1227,1273,10338,3783.0,12413.0,2.75
Crown Hill,Roxbury,1801,1941,24611,4376.0,24306.0,2.75
Crown Hill,Admiral,1508,1630,20657,5145.0,23325.0,2.75
Crown Hill,North Beacon Hill,1346,1803,17859,3790.0,16936.0,5.5
Crown Hill,Mt. Baker Station,1355,1799,17832,3992.0,18201.0,5.5
Crown Hill,Columbia City Station,1503,1985,20565,4070.0,19971.0,5.5
Crown Hill,Othello Station,1674,2143,23379,4310.0,22714.0,5.5
Crown Hill,Rainier Beach,1752,2229,28179,5221.0,26446.0,8.25
Greenwood,West Seattle Junction/Triangle,1411,1545,19433,4114.0,20755.0,2.75
Greenwood,Morgan Junction,1606,1736,21247,4224.0,22660.0,2.75
Greenwood,Westwood,1045,1053,9506,3179.0,13510.0,2.75
Greenwood,Roxbury,1674,1815,23518,4090.0,23981.0,2.75
Greenwood,Admiral,1381,1507,19564,4859.0,23000.0,2.75
Greenwood,North Beacon Hill,1180,1629,16817,3444.0,16608.0,5.5
Greenwood,Mt. Baker Station,1189,1625,16789,3646.0,17873.0,5.5
Greenwood,Columbia City Station,1337,1810,19522,3724.0,19643.0,5.5
Greenwood,Othello Station,1508,1968,22336,3964.0,22386.0,5.5
Greenwood,Rainier Beach,1586,2054,27136,4935.0,26118.0,8.25
Lake City,West Seattle Junction/Triangle,1308,1567,22873,3644.0,22903.0,5.5
Lake City,Morgan Junction,1503,1757,24688,3754.0,24808.0,5.5
Lake City,Westwood,293,282,1918,1164.0,2905.0,2.75
Lake City,Roxbury,1612,1872,26395,3740.0,25920.0,5.5
Lake City,Admiral,1279,1528,23004,4454.0,24963.0,5.5
Lake City,North Beacon Hill,1198,1483,18937,2614.0,18247.0,5.5
Lake City,Mt. Baker Station,1194,1603,20218,2816.0,19494.0,5.5
Lake City,Columbia City Station,1283,1572,20443,2894.0,21267.0,5.5
Lake City,Othello Station,1454,1727,23257,3134.0,24010.0,5.5
Lake City,Rainier Beach,1532,1808,28057,4645.0,26870.0,5.5
North Green Lake,West Seattle Junction/Triangle,1157,1323,17632,3434.0,18772.0,2.75
North Green Lake,Morgan Junction,1352,1514,19447,3544.0,20677.0,2.75
North Green Lake,Westwood,828,856,9764,3422.0,11367.0,2.75
North Green Lake,Roxbury,1421,1594,21717,3830.0,21992.0,2.75
North Green Lake,Admiral,1128,1286,17763,4244.0,20987.0,2.75
North Green Lake,North Beacon Hill,991,1414,15599,3064.0,14622.0,5.5
North Green Lake,Mt. Baker Station,1000,1409,15572,3266.0,15887.0,5.5
North Green Lake,Columbia City Station,1148,1600,18305,3344.0,17657.0,5.5
North Green Lake,Othello Station,1320,1756,21119,3584.0,20400.0,5.5
North Green Lake,Rainier Beach,1398,1839,25919,4735.0,23060.0,2.75
University District,Belltown,856,1084,7944,1993.0,7729.0,2.75
Ballard,Belltown,1097,1273,10329,1575.0,9157.0,2.75
Fremont,Belltown,479,609,4806,957.0,4763.0,2.75
Campus Parkway,Belltown,916,1158,8272,1670.0,7226.0,2.75
Northgate,Belltown,1123,1261,12654,2062.0,13287.0,2.75
Broadview,Belltown,1368,1531,13757,3301.0,13469.0,2.75
Crown Hill,Belltown,1142,1290,11361,2227.0,10933.0,2.75
Greenwood,Belltown,1015,1167,10268,2143.0,10605.0,2.75
Lake City,Belltown,1320,1517,15869,2091.0,14322.0,5.5
North Green Lake,Belltown,761,946,8467,1583.0,8619.0,2.75
North Greenwood,University District,813,996,7103,2585.0,7046.0,2.75
North Greenwood,Ballard,584,611,4831,1419.0,4785.0,2.75
North Greenwood,Fremont,669,697,6162,1387.0,5566.0,2.75
North Greenwood,Campus Parkway,837,1062,7624,2847.0,7796.0,2.75
North Greenwood,Northgate,520,488,3211,1533.0,3388.0,2.75
North Greenwood,Broadview,424,425,3259,1119.0,3378.0,2.75
North Greenwood,Crown Hill,298,299,1740,774.0,1943.0,2.75
North Greenwood,Greenwood,78,78,516,376.0,521.0,0.0
